"Sample"	"Site"	"Tipo.de.muestra"	"Fecha.de.colecta"	"Location"	"Depth"	"Temperatura...C..int"	"Salnidad..ppm.int"	"Salinidad..ppt.int"	"pH.int"	"Redox.medido.en.campo"	"Redox.mV..Eh.int"	"Temperatura...C.sup"	"Salnidad..ppm.sup"	"Salinidad..ppt.sup"	"pHsup"	"Redox.medido.en.campo.1"	"Redox.mV..Eh.sup"	"S.2..mg.l..campo"	"ml.de.muestra"	"Factor.de.dilucion"	"S.2..mg.l."	"ID.1"	"SO.....mg.l..campo"	"ml.de.muestra.1"	"Factor.de.dilucion.1"	"SO.....mg.l."	"Shannon"	"Observed"	"Pielou"	"Faith"
"S1A015"	"S1A015"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.36770143089083	1960	0.83998860778284	86.904720666
"S1A1530"	"S1A1530"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.78057850779565	2520	0.865751561670185	101.304313449
"S1A3050"	"S1A3050"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"40-50"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.76368910959364	2593	0.860457757347215	106.166775126
"S1A5075"	"S1A5075"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.70803125841238	2839	0.843649414032869	112.043997292
"S1B07"	"S1B07"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	5.8617050140696	2378	0.754012560539384	109.206794361
"S1B2230"	"S1B2230"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.91492969645563	3203	0.856672951677766	123.194418489
"S1B3040"	"S1B3040"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.27655525875868	1998	0.825873187897328	88.238266814
"S1B6575"	"S1B6575"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.93195241150825	3175	0.859717019170272	122.729236513
"S2A1727"	"S2A1727"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.84031841441366	2684	0.866404483772313	114.57089118
"S2A3545"	"S2A3545"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.65838644147541	3183	0.825531073310517	132.778262994
"S2A5060"	"S2A5060"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"50-60"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.75196278482785	3246	0.835103712015744	131.096382924
"S2A515"	"S2A515"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.986176051289	3229	0.864633478107611	126.50083323
"S2B07"	"S2B07"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.2	25	1	1.2	"S2b M"	55.3	2	10	553	6.5471545438099	2308	0.845433759581703	100.74356658
"S2B1522"	"S2B1522"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.2	25	1	1.2	"S2b M"	55.3	2	10	553	6.74000690381664	2577	0.858120674697533	106.472428001
"S2B3040"	"S2B3040"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.2	25	1	1.2	"S2b M"	55.3	2	10	553	6.14763332220976	2748	0.776350753563246	109.835312068
"S2B5565"	"S2B5565"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.2	25	1	1.2	"S2b M"	55.3	2	10	553	6.3705950245016	1768	0.851956698603963	81.754894464
"S3A07"	"S3A07"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	32	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	"S3a M"	36.4	2	10	364	5.54151333685853	1289	0.773779087277191	68.258420613
"S3A1522"	"S3A1522"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	32	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	"S3a M"	36.4	2	10	364	5.65793317055452	1235	0.794784557538537	64.27397434
"S3A3040"	"S3A3040"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	32	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	"S3a M"	36.4	2	10	364	6.10059915311197	1284	0.85230855017427	65.628852505
"S3A6070"	"S3A6070"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	32	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	"S3a M"	36.4	2	10	364	5.17471263862815	524	0.826434482311265	34.652264054
"S3B2030"	"S3B2030"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	"S3b M"	49.5	2	10	495	6.61123262829263	2702	0.836679812003257	109.729254267
"S3B3545"	"S3B3545"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	"S3b M"	49.5	2	10	495	6.46040137135938	2589	0.822035779747842	108.316089164
"S3B6070"	"S3B6070"	"Sito_3"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	"S3b M"	49.5	2	10	495	5.8232987908223	3529	0.712873408912176	130.644122989
"S4B07"	"S4B07"	"Site_4"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"0-10"	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	"S4b M"	54.4	2	10	544	6.70301676929577	2697	0.848494378104205	114.118106319
"S4B1522"	"S4B1522"	"Site_4"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"20-30"	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	"S4b M"	54.4	2	10	544	6.73686260353681	2730	0.851467917729713	116.199500036
"S4B3040"	"S4B3040"	"Site_4"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"30-40"	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	"S4b M"	54.4	2	10	544	6.91079523286386	3225	0.855435317810582	127.084337125
"S4B5565"	"S4B5565"	"Site_4"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"60-70"	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	"S4b M"	54.4	2	10	544	7.04647406910978	3432	0.865564667488021	132.874690486
"S5A07"	"S5A07"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"0-10"	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	"S5a M"	46.8	2	10	468	5.59420424378541	2067	0.732815242007159	89.286291442
"S5A1522"	"S5A1522"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"20-30"	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	"S5a M"	46.8	2	10	468	5.92862634453108	2354	0.763617288946015	101.900969483
"S5A3040"	"S5A3040"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"30-40"	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	"S5a M"	46.8	2	10	468	6.3771469713653	2923	0.799104597341273	116.604452486
"S5A5565"	"S5A5565"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"60-70"	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	"S5a M"	46.8	2	10	468	6.33316629539368	2306	0.81789302711691	99.811146093
"S5B07"	"S5B07"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"0-10"	31.5	754.6	0.75	7.04	-212	23	32.8	725	0.73	7.96	-146	89	2.28	25	1	2.28	"S5b M"	53.4	2	10	534	6.33270293481119	2422	0.812682157393512	105.288794879
"S5B1522"	"S5B1522"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"20-30"	31.5	754.6	0.75	7.04	-212	23	32.8	725	0.73	7.96	-146	89	2.28	25	1	2.28	"S5b M"	53.4	2	10	534	6.73129684518745	3212	0.833633360733004	127.09759865
"S5B3040"	"S5B3040"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"30-40"	31.5	754.6	0.75	7.04	-212	23	32.8	725	0.73	7.96	-146	89	2.28	25	1	2.28	"S5b M"	53.4	2	10	534	7.25278606064014	4462	0.863082462449592	159.619739506
"S5B5060"	"S5B5060"	"Site_5"	"SEDIMENTO"	"\"29/09/2023\""	"La Piedad"	"50-60"	31.5	754.6	0.75	7.04	-212	23	32.8	725	0.73	7.96	-146	89	2.28	25	1	2.28	"S5b M"	53.4	2	10	534	6.79708961854154	4017	0.81909515080106	148.146357992
"S6A07"	"S6A07"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"0-10"	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.9	-165	70	1.07	25	1	1.07	"S6a M"	78.1	5	4	312.4	6.57572625497545	1997	0.8652952997838	95.461364178
"S6A1522"	"S6A1522"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"20-30"	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.9	-165	70	1.07	25	1	1.07	"S6a M"	78.1	5	4	312.4	6.75363117981405	2253	0.874820658698614	106.134467932
"S6A3040"	"S6A3040"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"30-40"	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.9	-165	70	1.07	25	1	1.07	"S6a M"	78.1	5	4	312.4	6.10303962831996	1728	0.81868127438384	91.92292934
"S6B07"	"S6B07"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"0-10"	28.4	467.6	0.47	6.8	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	"S6b M"	53.5	5	4	214	6.08210456138473	1826	0.809880062293459	89.050549982
"S6B1522"	"S6B1522"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"20-30"	28.4	467.6	0.47	6.8	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	"S6b M"	53.5	5	4	214	6.42572864378013	2404	0.825410407231668	111.267409677
"S6B3040"	"S6B3040"	"Site_6"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"30-40"	28.4	467.6	0.47	6.8	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	"S6b M"	53.5	5	4	214	6.68542203124496	3075	0.832445764469998	128.98312931
"S7A07"	"S7A07"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"0-10"	30.6	356.8	0.36	6.7	-190	45	31	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	"S7a M"	37.9	5	4	151.6	6.70379511503683	2413	0.860716005435659	108.66317341
"S7A1522"	"S7A1522"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"20-30"	30.6	356.8	0.36	6.7	-190	45	31	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	"S7a M"	37.9	5	4	151.6	6.82310237909237	2504	0.871890126956579	112.894794656
"S7A3040"	"S7A3040"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"30-40"	30.6	356.8	0.36	6.7	-190	45	31	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	"S7a M"	37.9	5	4	151.6	6.79839153060678	2652	0.862404125555573	120.155680202
"S7A5060"	"S7A5060"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"50-60"	30.6	356.8	0.36	6.7	-190	45	31	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	"S7a M"	37.9	5	4	151.6	6.65137251512056	2214	0.863527953228769	104.652873479
"S7B07"	"S7B07"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"0-10"	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	"S7b M"	37.5	5	4	150	6.42715902307415	1681	0.865360750731044	84.667584601
"S7B1522"	"S7B1522"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"20-30"	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	"S7b M"	37.5	5	4	150	6.95761332015165	2879	0.873501583551527	122.798197603
"S7B5060"	"S7B5060"	"Site_7"	"SEDIMENTO"	"\"30/09/2023\""	"El Cacahuate"	"50-60"	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	"S7b M"	37.5	5	4	150	6.45415064661483	3195	0.799836015529602	133.880481302
