SampleID	q0	q1	q2	Sample	ID	Depth	Depth_cm	Site	Sample_type	Date	Location	Temp (°C) int	Salnidad (ppm)int	Salinidad (ppt)int	pH int	pHsup	Redox medido en campo1	Redox mV (Eh)int	Temperatura (°C)sup	Salnidad (ppm)sup	Salinidad (ppt)sup	Redox medido en campo	Redox mV (Eh)sup	S-2 (mg/l) campo	ml de muestra1	Factor de dilucion1	S-2 (mg/l)	ID_M	SO₄²- (mg/l) campo	ml de muestra2	Factor de dilucion2	SO₄ ² (mg/l)
1	S1A015	2267	581.022763647735	172.505723013881	S1A015	S1A	1	0-15	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
2	S1A1530	3082	924.726097984885	341.753404665858	S1A1530	S1A	2	16-30	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
3	S1A3050	3234	926.028834897325	303.32358657576	S1A3050	S1A	3	31-45	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
4	S1A5075	3506	879.583073833849	228.449140324116	S1A5075	S1A	4	50-75	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537
5	S1B07	3011	364.416570812545	62.9891762899593	S1B07	S1B	1	0-15	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
6	S1B2230	3973	1127.11621491408	320.30756716258	S1B2230	S1B	2	16-30	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
7	S1B3040	2609	604.824610315943	165.32736659385	S1B3040	S1B	3	31-45	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
8	S1B6575	3655	1110.09054377535	380.930512116489	S1B6575	S1B	4	50-75	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55	2	10	550
9	S2A1727	3603	1120.04646984028	401.254481035617	S2A1727	S2A	2	16-30	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
10	S2A3545	4115	882.368238016082	151.919322484836	S2A3545	S2A	3	31-45	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
11	S2A5060	4079	944.43987571334	196.280888619944	S2A5060	S2A	4	50-75	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
12	S2A515	3687	1180.89462848007	369.647025931342	S2A515	S2A	1	0-15	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.3	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545
13	S2B07	2596	701.767793878381	206.112122435711	S2B07	S2B	1	0-15	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
14	S2B1522	3528	977.713362566228	292.217889990577	S2B1522	S2B	2	16-30	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
15	S2B3040	3574	517.054652963356	70.415611086755	S2B3040	S2B	3	31-45	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
16	S2B5565	2987	760.677639983684	185.989398090459	S2B5565	S2B	4	50-75	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.2	25	1	1.2	S2b M	55.3	2	10	553
17	S3A07	2219	309.383647440216	63.394777442289	S3A07	S3A	1	0-15	Site_3	Sediment	28/09/2023	Dique Miguelito	32	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364
18	S3A1522	1969	361.75871819172	106.643860963953	S3A1522	S3A	2	16-30	Site_3	Sediment	28/09/2023	Dique Miguelito	32	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364
19	S3A3040	2559	638.064032546351	201.071054031486	S3A3040	S3A	3	31-45	Site_3	Sediment	28/09/2023	Dique Miguelito	32	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364
20	S3A6070	1096	257.907942756906	100.262518929043	S3A6070	S3A	4	50-75	Site_3	Sediment	28/09/2023	Dique Miguelito	32	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364
21	S3B2030	3223	815.649412867732	221.013875929182	S3B2030	S3B	2	16-30	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495
22	S3B3545	3061	695.109067669626	171.32779667793	S3B3545	S3B	3	31-45	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495
23	S3B515	3323	915.483202145021	237.374927311358	S3B515	S3B	1	0-15	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495
24	S3B6070	3627	347.054242885874	27.7547208577836	S3B6070	S3B	4	50-75	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495
25	S4B07	3009	815.329599956743	225.349727611247	S4B07	S4B	1	0-15	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544
26	S4B1522	3335	913.911933681133	272.857353904099	S4B1522	S4B	2	16-30	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544
27	S4B3040	4060	1092.00414671726	281.771360907081	S4B3040	S4B	3	31-45	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544
28	S4B5565	4596	1322.06738790703	320.634677644599	S4B5565	S4B	4	50-75	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544
29	S5A07	2060	246.54202556473	54.5423111666673	S5A07	S5A	1	0-15	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468
30	S5A1522	2438	367.008222539371	75.3579226195112	S5A1522	S5A	2	16-30	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468
31	S5A3040	3461	608.828714270645	118.491253315032	S5A3040	S5A	3	31-45	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468
32	S5A5565	2425	583.677041608085	175.149383828499	S5A5565	S5A	4	50-75	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468
33	S5B07	2889	571.852016678497	119.01700685512	S5B07	S5B	1	0-15	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534
34	S5B1522	4093	925.758743529862	197.157435859875	S5B1522	S5B	2	16-30	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534
35	S5B3040	5308	1511.98541384712	450.317093699169	S5B3040	S5B	3	31-45	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534
36	S5B5060	3973	908.854752197656	300.606243994409	S5B5060	S5B	4	50-75	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534
37	S6A07	2336	698.591215373518	210.542842641467	S6A07	S6A	1	0-15	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
38	S6A1522	2627	866.26552323337	314.118132359266	S6A1522	S6A	2	16-30	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
39	S6A3040	2566	512.865685337415	111.310032196148	S6A3040	S6A	3	31-45	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.9	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
40	S6B07	1792	391.930293474815	93.6402333949099	S6B07	S6B	1	0-15	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214
41	S6B1522	2267	566.57576395139	154.621930837235	S6B1522	S6B	2	16-30	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214
42	S6B3040	3026	764.525442396143	176.957171608489	S6B3040	S6B	3	31-45	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.8	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214
43	S7A07	2518	768.37250788613	224.993042090918	S7A07	S7A	1	0-15	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
44	S7A1522	2793	938.659771667831	344.356468680199	S7A1522	S7A	2	16-30	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
45	S7A3040	3143	958.254105843608	293.292665851462	S7A3040	S7A	3	31-45	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
46	S7A5060	2474	805.325239342441	268.376604646841	S7A5060	S7A	4	50-75	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.7	7.53	-190	45	31	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
47	S7B07	2051	641.323040725472	171.11730629088	S7B07	S7B	1	0-15	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150
48	S7B1522	3222	1065.03430941304	308.385001141312	S7B1522	S7B	2	16-30	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150
49	S7B3040	3153	625.923060903978	130.249717491987	S7B3040	S7B	3	31-45	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150
50	S7B5060	3493	647.714235271375	115.462223998801	S7B5060	S7B	4	50-75	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150
